"text","label","author","category","original_id"
"Jupiter is bigger than all the other planets in our solar system combined.","fact","djtech.net","","0dc8463c6a77846dc738be056ffa9c9b"
"The value of Pi will be officially ""rounded down"" to 3.14 from 3.14159265359 on December 31, 1999.","fact","djtech.net","","bc6cd4015b6b4d948163f35bc5570074"
"South Dakota is the only U.S state which shares no letters with the name of it`s capital","fact","djtech.net","","b2c7f6cd9240e38dd4d574d2697d74ff"
"In 1986 Congress & President Ronald Reagan signed Public Law 99-359, which changed Daylight Saving Time from the last Sunday in April to the first Sunday in April.  It was estimated to save the nation about 300,000 barrels of oil each year by adding most of the month April to D.S.T.","fact","djtech.net","","9fbb54b2da8115bf6d69bdafc5118bb2"
"80% of burglaries are committed by people aged 13-21.","fact","djtech.net","","bef941db2b20af9bf6d8b201444c4ac4"
"The first owner of the Marlboro company died of lung cancer.","fact","djtech.net","","d9869619a81ec3edefc1f55c531b5608"
"The penguin is the only bird that can’t fly but can swim.","fact","djtech.net","","ae1b4d94761ffb0036774b2963a30ab9"
"The average shelf-life of a latex condom is about two years.","fact","djtech.net","","0e6c15a43a73b18abc36bf2139ec3944"
"On average people fear spiders more than they do death.","fact","djtech.net","","6336369ae1782f56548e7a48f30fd2c3"
"The angel falls in Venezuela are nearly 20 times taller than Niagara Falls.","fact","djtech.net","","73f60990b135f813b6cd5a7fe5ab5fb0"
"WWII fighter pilots in the South Pacific armed their airplanes while stationed with .50 caliber machine gun ammo belts measuring 27 feet before being loaded into the fuselage. If the pilots fired all their ammo at a target, he went through ""the whole 9 yards"", hence the term.","fact","djtech.net","","7df7a31df2a9fe82eb58c08ba002f2bb"
"It is illegal to hunt camels in the state of Arizona.","fact","djtech.net","","58ce5dab7f78d74d7caecc21e4cdcbf6"
"More bullets were fired in `Starship Troopers` than any other movie ever made.","fact","djtech.net","","6dc7973af47b5a4d76d3a3e9f5afd54b"
"There are about 450 types of cheese in the world. 240 come from France.","fact","djtech.net","","978baaa71c77ce74ece40fa27039ea23"
"The ""save"" icon on Microsoft Word shows a floppy disk with the shutter on backwards.","fact","djtech.net","","13ce4f95fce6e6f0220c803c24cd2dfd"
"Bats always turn left when exiting a cave.","fact","djtech.net","","32d3e56d9d3f670a154363aab0b35d25"
"It’s estimated that at any one time around 0.7% of the world’s population is drunk.","fact","djtech.net","","aa723123eda19fbe5363ffea4c15e217"
"Los Angeles` full name `El Pueblo de Nuestra Senora la Reina de Los Angeles de Porciuncula` is reduced to 3.63% of its size in the abbreviation `L.A.`.","fact","djtech.net","","9dc6007de790ced736256364a22c0ec2"
"Americans on the average eat 18 acres of pizza every day.","fact","djtech.net","","e4b1f7757a3c015904e09bda182fa7a7"
"Firehouses have circular stairways originating from the old days when the engines were pulled by horses. The horses were stabled on the ground floor and figured out how to walk up straight staircases.","fact","djtech.net","","f90ddc6406d668a0b7c14a7c19eba803"
"Your stomach has to produce a new layer of mucus every 2 weeks otherwise it will digest itself.","fact","djtech.net","","5ad6f78d21d75b46bb4893d1ea870524"
"The three most recognized Western names in China are Jesus Christ, Richard Nixon, & Elvis Presley.","fact","djtech.net","","c84fa91a4c7bcfbbbe80c3cd178bd057"
"China has more English speakers than the United States.","fact","djtech.net","","dbaca7b9d02eae41dcebf7cd518fc2f5"
"Because metal was scarce, the Oscars given out during World War II were made of wood.","fact","djtech.net","","91c36c0612900b105a3ddcb7feca5f49"
"Camel’s have three eyelids.","fact","djtech.net","","0066021f34f09b6ba29f1fd3184d71cb"
"Spain leads the world in cork production","fact","djtech.net","","2df62299cafe6d8e84cc9bd27981a20e"
"You can't kill yourself by holding your breath","fact","djtech.net","","e2426d230b4a1343e4f724932ea5c309"
"Ancient Egyptian priests would pluck every hair from their bodies.","fact","djtech.net","","14ef91d30ebd891d922f52685318e7c7"
"There is a city called Rome on every continent.","fact","djtech.net","","65b30804fd08c75c6ee30e3152974975"
"Most lipstick contains fish scales!","fact","djtech.net","","7402a6038f379f7ff5f9e38c895841d7"
"0.3% of all road accidents in Canada involve a Moose.","fact","djtech.net","","73cb3a0d00ce7b22f3fa82a4fcd724f2"
"More people are afraid of open spaces (kenophobia) than of tight spaces (claustrophobia).","fact","djtech.net","","e1039067c0d5e99dfd105d5abba8d6fa"
"Dueling is legal in Paraguay as long as both parties are registered blood donors.","fact","djtech.net","","8bcb9b6b1d380574e833e12d1b0b10ed"
"By raising your legs slowly and lying on your back, you cannot sink into quicksand.","fact","djtech.net","","7bea7fecc1e2d9467607c83e888a71c2"
"40% of all people who come to a party in your home snoop in your medicine cabinet","fact","djtech.net","","0a4adc842d1c8d41b2164a9b86a0cc57"
"Cats have over one hundred vocal sounds; dogs only have about ten.","fact","djtech.net","","d185b9a5110d45d2d7c5f52e09e400cb"
"On average a hedgehog's heart beats 300 times a minute.","fact","djtech.net","","10ab2f4db440cc5a59b2398d690a3bd3"
"1,800 cigarettes are smoked per person each year in China.","fact","djtech.net","","eb50ea53c948452301be04eddf813010"
"There is a city in Norway called ""Hell""","fact","djtech.net","","c193cb00457a35942a9e4632e19d77de"
"Americans are responsible for about 1/5 of the world’s garbage annually.","fact","djtech.net","","84cb04286c0b619c89ca2221990b05c5"
"Switzerland is the only country with a square flag.","fact","djtech.net","","e33e52a1d4b8d7b265de6f606ee99683"
"One in fourteen women in America is a natural blonde. Only one in sixteen men is.","fact","djtech.net","","6fcf9f8eb563af7468215beb6619b72e"
"There are 1,575 steps from the ground floor to the top of the Empire State building.","fact","djtech.net","","38c20d44406abf1163c0d7d7e5028811"
"The Main Library at Indiana University sinks over an inch every year because when it was built, engineers failed to take into account the weight of all the books that would occupy the building.","fact","djtech.net","","e5ab712476d43f31e76bb1729af8d864"
"Jimmy Carter was the first U.S. President to be born in a hospital.","fact","djtech.net","","031697f291810a508ade3b25c2ece619"
"The name Wendy was made up for the book ""Peter Pan.""","fact","djtech.net","","1673a5a8f3a795144b4919d788a89a5c"
"An American urologist bought Napoleon’s penis for $40,000.","fact","djtech.net","","28f7e4972cef44d3aa0c6dc7583d6aa5"
"More people are killed each year from bees than from snakes.","fact","djtech.net","","1eb252ca30155cce030283bdd15b8c63"
"There are 293 ways to make change for a dollar.","fact","djtech.net","","28c716c301c959e26f66fc3a347edd45"
"Elvis had a twin brother named Garon, who died at birth, which is why Elvis middle name was Aron.","fact","djtech.net","","f1262a6504663a9975fa157add004061"
"Anne Boleyn, Queen Elizabeth I's mother, had six fingers on one hand.","fact","djtech.net","","5bce74e18fc24f56025128b2481ac92a"
"Only female mosquito’s` bite and most are attracted to the color blue twice as much as to any other color.","fact","djtech.net","","4818436c0ed00a79dd8ae899aac78717"
"Peanuts are one of the ingredients of dynamite.","fact","djtech.net","","0a7734461c2b6383f6b5b23f7a9b4a24"
"All of the clocks in the movie ""Pulp Fiction"" are stuck on 4:20.","fact","djtech.net","","6b1ede69019a5cb3e6a3a57104cb1d52"
"Steely Dan got their name from a sexual device depicted in the book `The Naked Lunch`.","fact","djtech.net","","38583dc74ede6858ca400242b81efd8d"
"The Ramses brand condom is named after the great pharoh Ramses II who fathered over 160 children.","fact","djtech.net","","22d7a37a952554c942edd1e5b608be71"
"The airplane Buddy Holly died in was the ""American Pie."" (Thus the name of the Don McLean song.)","fact","djtech.net","","d8ed6756b4a941d342f7371453fefba0"
"The Simpsons is the longest running animated series on TV.","fact","djtech.net","","0507e6cc80698909b4582c6169447961"
"Camels chew in a figure 8 pattern.","fact","djtech.net","","171db0c75a3498787f8270de579ba079"
"The U.S. Post Office handles 43 percent of the world’s mail.","fact","djtech.net","","ef3667e2265983cca2562357aa41086a"
"The surface of the human skin is 6.5 square feet (2m).","fact","djtech.net","","a6f408d3f6c7818faa01eb9c01566156"
"A cow gives nearly 200,000 glasses of milk in her lifetime.","fact","djtech.net","","74b407f3cd0622b91c55c34b7136349c"
"The ""Dull Men's Hall of Fame"" is located in Carroll, Wisconsin.","fact","djtech.net","","609f14d57be08a7147786ee553364cd3"
"Virginia Woolf wrote all her books standing.","fact","djtech.net","","3b3dd7608388f9341fe1d2878a5c7f5b"
"The house fly hums in the middle octave key of F.","fact","djtech.net","","88c646225a412a99760f2e3c3e50f2c4"
"In the U.S, Frisbees outsell footballs, baseballs and basketballs combined.","fact","djtech.net","","727dfec416f4e9aaa2bd87fb2bd911d7"
"Half of all Americans live within 50 miles of their birthplace.","fact","djtech.net","","3eac69032002b90a12abd19d3a2c509a"
"Porcupines can float in water.","fact","djtech.net","","5a2978310a144b510d98b84a029a11a5"
"Because of the rotation of the earth, an object can be thrown farther if it is thrown west.","fact","djtech.net","","f21f3b1d3923002b864c516762575d6b"
"It takes 3,000 cows to supply the NFL with enough leather for a year`s supply of footballs.","fact","djtech.net","","9a7648a7ab73922728a2e68825b71a3a"
"Buckingham Palace has 602 rooms.","fact","djtech.net","","134ba522f9b6720fa75d0c51db8b8e37"
"More people are allergic to cow's milk than any other food.","fact","djtech.net","","f2a09fa0647d832055506375ce3529c8"
"Of all the words in the English language, the word 'set' has the most definitions!","fact","djtech.net","","6d58fd430bd3af7a6205c9f0985cfc17"
"All 50 states are listed across the top of the Lincoln Memorial on the back of the $5 bill.","fact","djtech.net","","dff1e443050711c68b7a753b70de49ad"
"Chameleons can move their eyes in two directions at the same time.","fact","djtech.net","","8e49f9dc7b5b22c83efa168acca61992"
"The KGB is headquartered at No. 2 Felix Dzerzhinsky Square, Moscow","fact","djtech.net","","596646803099176d6dd699be90ad4886"
"There are 336 dimples on a regulation US golf ball. In the UK its 330.","fact","djtech.net","","a6c37cc38508181eb00267bdf6fea42a"
"When possums are playing `possum`, they are not ""playing."" They actually pass out from sheer terror.","fact","djtech.net","","80179f4c4dc176c5bcc86f839fa6d416"
"The very first bomb dropped by the Allies on Berlin during World War II Killed the only elephant in the Berlin Zoo.","fact","djtech.net","","b44de9b17ad6daad23d2f63b14d13f60"
"One in eight million people has progeria, a disease that causes people to grow faster than they age.","fact","djtech.net","","aef34641c14f815abcfebbbba2cad010"
"Honey is the only natural food that is made without destroying any kind of life.","fact","djtech.net","","486c5f1f935f28d7ed03c92149f00017"
"""Dreamt"" is the only English word that ends in the letters ""mt.""","fact","djtech.net","","ba66e4c4f268a6b03f15ad561b067294"
"A rainbow can be seen only in the morning or late afternoon. It can occur only when the sun is 40 degrees or less above the horizon.","fact","djtech.net","","b1af0061fb234ef68a9b82de46f63a7e"
"If you feed a seagull Alka-Seltzer, its stomach will explode.","fact","djtech.net","","eee563cead81087fd7b55304f425a255"
"The human body is comprised of 80% water.","fact","djtech.net","","b6df1cfbdcce12c2a6f9042f55ea1f39"
"The shape of plant collenchyma’s cells and the shape of the bubbles in beer foam are the same - they are orthotetrachidecahedrons.","fact","djtech.net","","be3e622e9fee8b4e6e21e1d6d7359edf"
"There`s a systematic lull in conversation every 7 minutes.","fact","djtech.net","","8004e556fa334958864c1589c43dbd8f"
"The largest NFL stadium is the Pontiac Silverdome in Detroit, Michigan.","fact","djtech.net","","951fc13386d1992b5697c8982462d22d"
"There were always 56 curls in Shirley Temple`s hair.","fact","djtech.net","","b2f520c3dc7bb6a3135dcbafbda6f5b4"
"Daylight Saving Time is not observed in most of the state of Arizona and parts of Indiana.","fact","djtech.net","","703bb0c7bd7b280b25951e809a237643"
"In 1980, a Las Vegas hospital suspended workers for betting on when patients would die.","fact","djtech.net","","c0ba7eafa2803ca817919d14017ba424"
"Hong Kong holds the most Rolls Royce’s per capita.","fact","djtech.net","","3547e1acb0818699e5a406f1dd402879"
"The city of Venice stands on about 120 small islands.","fact","djtech.net","","94510b0eaf5b3ee1a0af5788a54e81b0"
"An eighteenth-century German named Matthew Birchinger, known as ""the little man of Nuremberg,"" played four musical instruments including the bagpipes, was an expert calligrapher, and was the most famous stage magician of his day. He performed tricks with the cup and balls that have never been explained. Yet Birchinger had no hands, legs, or thighs, and was less than 29 inches tall.","fact","djtech.net","","6c3e7ab9c687ba956c631ff580e97946"
"Shakespeare spelled his OWN name several different ways.","fact","djtech.net","","4fdd6232c09335e6d0f556ac1d76dd70"
"Hair is made from the same substance as fingernails.","fact","djtech.net","","2d4c4b353e0f60f702f0be4472fbd479"
"The word ""dexter"" whose meaning refers to the right hand is typed with only the left hand.","fact","djtech.net","","368f95d0ee8d39ec71bced1bac4296b5"
"In the early 1940s, the FCC assigned television`s Channel 1 to mobile services (like two-way radios in taxis) but did not re-number the other channel assignments.","fact","djtech.net","","40f974a5b57aac55632bc4f77f5f143e"
"In 1778, fashionable women of Paris never went out in blustery weather without a lightning rod attached to their hats.","fact","djtech.net","","a0e7136a6995af3ccb1157f9dd7c5cb5"
"There are about 2 chickens for every human in the world.","fact","djtech.net","","a79f9155aade5bd705f25059bcd33054"
"One in every 4 Americans has appeared on television.","fact","djtech.net","","d5ffdca6bcad6a63fd519a9b2dde2353"
"On average, Americans` favorite smell is banana.","fact","djtech.net","","9a322f0987f9ac2208a21c981bed8e4e"
"Hot water is heavier than cold.","fact","djtech.net","","19af289d85aa7f9b3c6bde89cc25a84b"
"The US has more personal computers than the next 7 countries combined.","fact","djtech.net","","7e45191a253797e54afe499db4e9a548"
"Fish that live more than 800 meters below the ocean surface don't have eyes.","fact","djtech.net","","bd093741d1a38d68563b9164a838bc04"
"You can`t kill yourself by holding your breath.","fact","djtech.net","","5b66d6f9c551572f243307022f479d9b"
"The average human blinks their eyes 6,205,000 times each year.","fact","djtech.net","","1bafe5ca9d24eac070b16ebc5f0735d8"
"People say “bless you” when you sneeze because your heart stops for a millisecond.","fact","djtech.net","","3d8c82fcb8624d56aaf9cffc039ced79"
"Someone paid $14,000 for the bra worn by Marilyn Monroe in the film 'Some Like It Hot'.","fact","djtech.net","","dbb31cbbda5bc07c9da9f3accf7989e0"
"Respiratory Disease is China's leading cause of death.","fact","djtech.net","","ef60bd16851c929974b402bc9c415aa9"
"Who`s that playing the piano on the ""Mad About You"" theme? Paul Reiser himself.","fact","djtech.net","","2e817bb313433440ae52d0edc0adedb9"
"Al Capone’s business card said he was a used furniture dealer.","fact","djtech.net","","1af2589443e5fcf8afd8833c541f9d5e"
"The longest word in the English language, according to the Oxford English Dictionary, is: pneumonoultramicroscopicsilicovolcanoconiosis..","fact","djtech.net","","f752747ec40125d2cd322ac18cf771ba"
"Georgia's state motto is ""Wisdom, Justice and Moderation.""","fact","djtech.net","","c9b1d46f65a7a39e870909f4d6a66142"
"Walt Disney was afraid of mice.","fact","djtech.net","","76e238c6114ac90c082f3b2f9d7b304d"
"People photocopying their buttocks are the cause of 23% of all photocopier faults worldwide.","fact","djtech.net","","19534b44b15096efc409cdae33dd2a19"
"Cats have over one hundred vocal sounds, while dogs only have about ten.","fact","djtech.net","","44355b993165e211eb1ce9a929fc5b01"
"You can be fined up to $1,000 for whistling on Sunday in Salt Lake City, Utah.","fact","djtech.net","","3a061e7a74a910de2a85fc3faaceca42"
"Simplistic passwords contribute to over 80% of all computer password break-ins.","fact","djtech.net","","66c9546d229838f57824ad4b3c534220"
"Most dust particles in your house are made from dead skin!","fact","djtech.net","","2df8a1504c298f06ee5f2968e09b48c8"
"William Marston engineered one of the earliest forms of the polygraph in the early 1900`s. Later he went on to create the comic strip Wonder Woman, a story about a displaced Amazon princess who forces anyone caught in her magic lasso to tell the truth","fact","djtech.net","","b8583f70c337e9723399acbf6cb05b2f"
"""Almost"" is the longest word in the English language with all the letters in alphabetical order.","fact","djtech.net","","7d933715521d58c5d1ef337a46717eb0"
"Prince Charles and Prince William never travel on the same airplane in case there is a crash.","fact","djtech.net","","f6d344c4a853ddf06572cbaf9b58d953"
"The electric chair was invented by a dentist.","fact","djtech.net","","1c7d8f7a7ebb804addf2cbd60b454db7"
"Hannibal had only one eye after getting a disease while attacking Rome.","fact","djtech.net","","f94565fbc28caccb24a8c41058a6e4a3"
"Tigers have striped skin, not just striped fur.","fact","djtech.net","","a9b751e6f539fe385aa269e2ce595626"
"The national anthem of Greece has 158 verses.","fact","djtech.net","","b62da4ff3938e279c95c555c7274b322"
"Humphrey Bogart NEVER said “Play it again, Sam” in Casablanca","fact","djtech.net","","ffd95084dbd1cf86fdc60f6225492a5f"
